blikjeswaren;-;K
blimbing;-;K
blinddammen;-;K
blocnotevel;-;K
bloedfactor;-;K
bloedgroepgenoot;-;K
bloedpoeder;-;K
bloedwortel;-;K
bloemenmonument;-;K
bloemensymboliek;-;K
bloemenvriend;-;K
blokeend;-;K
blokjesvoetbal;-;K
blokschijf;-;K
bloothooi;-;K
blusleiding;-;K
bluspomp;-;K
bobbed;-;K
bobbelgum;-;K
bobijnhouder;-;K
bobsleeploeg;-;K
bochelmannetje;-;K
bodemsaneringsregeling;-;K
bodemvis;-;K
bodemziekte;-;K
bodysafe;-;K
boeddhabuikje;-;K
boeddhahouding;-;K
boeddhologie;-;K
boeddhologisch;-;K
boeddholoog;-;K
boeglul;-;K
boekencatalogus;-;K
boekenimport;-;K
boekenmens;-;K
boekenweekessay;-;K
Boekenweekgeschenk;-;H
boekenweekuitgave;-;K
boekgrafiek;-;K
boekhandelsgroep;-;K
boeklong;-;K
boerenprobleem;-;K
Boerenrepubliek;-;K
boerenstulp;-;K
boerentabak;-;K
boeroeper;-;K
boethuis;-;K
boetprocessie;-;K
bogie;-;K
bokkenpootje;-;K
bolbloem;-;K
bolbloemen;-;F
bolbloementeelt;-;K
bolbloemententoonstelling;-;K
boletri;-;K
bolivar;-;K
bollantaarn;-;K
bollebof;-;K
bollendag;-;K
bombel;-;K
bomchecken;-;K
bomendijk;-;K
B-omroep;-;K
bonbondoosje;-;K
bondsakte;-;K
bondsapparaat;-;K
Bondsdaglid;-;K
bondsparlement;-;K
bondsploeg;-;K
bondssponsor;-;K
bondsvolk;-;K
bondswege;-;K
bonhomme;-;K
bonsaiboom;-;K
bontebok;-;K
boogie;-;K
boombeschrijving;-;K
boomboa;-;K
boomhoek;-;K
boomschool;-;K
boomslaper;-;K
boomsluiter;-;K
boomstekelvarken;-;K
boontjedief;-;K
boordinstrument;-;K
boordwijdte;-;K
boorzuurpoeder;-;K
bootlegging;-;K
bootmens;-;K
bootrace;-;K
bordreclame;-;K
borrelworstje;-;K
borstelkrans;-;K
borstelwaren;-;K
borstenman;-;K
borsthanger;-;K
bosananas;-;K
bosbeer;-;K
bosbode;-;K
boscertificaat;-;K
bosgezicht;-;K
boshuishoudkunde;-;K
boskar;-;K
boslandcreools;-;K
boslanddignitaris;-;K
bosmuur;-;K
bosnegerdorp;-;K
Bosnisch-Servisch;-;K
bospapaja;-;K
bospartij;-;K
bospolitie;-;K
bossage;K;V
bossages;K;V
Bosschenaarse;-;K
bosspin;-;K
bossterfte;-;K
bosvegetatie;-;K
bosvegetaties;-;F
bosviool;-;K
bosvlam;-;K
bosvogel;-;K
bosvrucht;-;K
boswachtershuis;-;K
bosyaws;-;K
botenterrein;-;K
boterbrood;-;K
boterhammentrommeltje;-;K
boterhond;-;K
boterhuis;-;K
botervlinder;-;K
Boterwet;-;K
botsingsenergie;-;K
bourgeoiscultuur;-;K
bourgeoismentaliteit;-;K
bouwkeur;-;K
bouwkost;-;K
bouwspeurwerk;-;K
bovengalerij;-;K
bovenkop;-;K
boventitel;-;K
bovenveen;-;K
bovenwarmte;-;K
bowl-out;-;K
boycotbeleid;-;K
boycotwet;-;K
boyscout;-;K
bralaap;-;K
brandewijnkom;-;K
brandname;-;K
brandraam;-;K
brandstofinjectiesysteem;-;K
brandweerrood;-;K
brandzwam;-;K
brasa;-;K
Braziliaans-Portugees;-;K
breakdansen;-;K
breedlachend;-;K
breedteniveau;-;K
breekhout;-;K
breinbaas;-;K
breintrainer;-;K
bremraapfamilie;-;K
bridgetitel;-;K
briefadel;-;K
briefhoofding;-;K
briefkaartactie;-;K
briefkaartformaat;-;K
briet;-;K
brievenhanger;-;K
brijbek;-;K
brijberg;-;K
brillenjood;-;K
brilzee-eend;-;K
Brits-Engels;-;K
Brits-Indiër;-;K
Brits-Indisch;-;K
brobbel;-;K
brocanteur;-;K
brodde;-;V
brodden;-;V
broederkerk;-;K
broeder-overste;-;K
broekhoest;-;K
broekneus;-;K
broge;-;K
Brokopondonees;-;K
brompijp;-;K
broncode-editor;-;K
bronnenpublicatie;-;K
bronzout;-;K
broodcrouton;-;K
brooddieet;-;K
broodkist;-;K
broodwinkel;-;K
broomdrankje;-;K
broomzuur;-;K
brouwerijindustrie;-;K
brouwersbier;-;K
brouwersgilde;-;K
brownbeweging;-;K
Bruggelinge;-;K
brughoek;-;K
Brugman;-;K
bruidsshow;-;K
bruinbank;-;K
bruinhart;-;K
bruinkoolgroeve;-;K
bruinkoolindustrie;-;K
bruinkoolmijn;-;K
brushleer;-;K
brutovermogen;-;K
BS'er;-;K
budgetpolis;-;K
buiklap;-;K
buikwind;-;K
buitenbeen;-;K
buitenborg;-;K
buitendruk;-;K
buitenfunctiestelling;-;K
buitengemeentelijk;-;K
buitengemeentelijke;-;F
buitengevechtstelling;-;K
buitengewonelastenregeling;-;K
buitenlanderangst;-;K
buitenlandexpert;-;K
buitenlust;-;K
buitenzintuiglijk;-;K
bulkoverslagbedrijf;-;K
bunkerrechtbank;-;K
bureaueigenaar;-;K
bureau-inhoud;-;K
burencontact;-;K
burgerdag;-;K
burgerlijk-liberaal;-;K
burgermansmoraal;-;K
burgerpolitie;-;K
burgerrechtenwetgeving;-;K
burgul;-;K
bursa-equivalent;-;K
busbo;-;K
busboot;-;K
busgroente;-;K
bushbush;-;K
businessrestaurant;-;K
buspakje;-;K
busremise;-;K
busvervoerder;-;K
buurhuis;-;K
Buurlo;-;K
buurtbewaking;-;K
buurtbezoek;-;K
buurttehuis;-;K
buurtwachter;-;K
buutplaats;-;K
byebye;-;K
cabaretact;-;K
cabrioletkap;-;K
cacaoboer;-;K
cacaomot;-;K
cacteeën;F;K
cadettenkorps;-;K
cadmiumcel;-;K
cadmiumrood;-;K
café noir;-;K
café-brasserie;-;K
cajunkeuken;-;K
calimerocomplex;-;K
camaieu;-;K
cambiohouder;-;K
cameraoog;-;K
canadagans;-;K
Canadees-Engels;-;K
Cantabrische;-;F
cantatekoor;-;K
capaciteitenstelsel;-;K
caravanstalling;-;K
carbuur;-;K
cardioscopie;-;K
cargorijst;-;K
Caribisch-Engels;-;K
Caricom-land;-;K
carnavalsgroet;-;K
carnavalsmaand;-;K
carolina-eend;-;K
carpoolbevordering;-;K
carpoolwisselstrook;-;K
carrièreoverweging;-;K
cascadeschakeling;-;K
cash-and-carryzaak;-;K
casheconomie;-;K
casinohotel;-;K
casinopersoneel;-;K
casinowit;-;K
cassandravoorspelling;-;K
cassata-ijs;-;K
cassavebrood;-;K
cassavechips;-;K
cassettesysteem;-;K
cassettewisselaar;-;K
cassolette;-;K
catalogusverkoop;-;K
C-attest;-;K
causaliteitsbegrip;-;K
cauteriseren;-;K
cd-rewriter;-;K
Cederrevolutie;-;K
ceintuurbaan;-;K
cellenbeleid;-;K
cellosolo;-;K
cementkoper;-;K
cementlijm;-;K
centrifugaalkoppeling;-;K
centrifugeonderdeel;-;K
ceylonthee;-;K
chambrette;-;K
champagneflûte;-;K
Champions League;-;K
Champions Leaguewedstrijd;-;K
chanoekafeest;-;K
chanoekalamp;-;K
chargen;-;K
charlotte-russe;-;K
charterreis;-;K
chazanoet;-;K
chef d'équipe;-;K
chef-d'oeuvre;-;K
chef-redactie;-;K
cheider;-;K
chemieaandeel;-;K
chemiewinkel;-;K
chemisme;-;K
chequeboekdiplomatie;-;K
Cherokee-indiaan;-;K
chester;-;K
chimerisch;-;K
Chin.;-;K
chineesrestaurantsyndroom;-;K
chipolata-ijs;-;K
chipsmarkt;-;K
chlooracne;-;K
chloorecht;-;K
chloorwaterstof;-;K
chochme;-;K
chocoladebeen;-;K
cholerapatiënt;-;K
choreografieopdracht;-;K
christelijk-fundamentalistisch;-;K
christelijk-nationaal;-;K
christengeloof;-;K
christenkind;-;K
christenridder;-;K
christenrijk;-;K
christen-sociaal;-;K
christensocialisme;-;K
Christian Science;-;K
christian-scientist;-;K
Christus-Koning;-;K
chromotypie;-;K
chrysantentroon;-;K
cicadeachtig;-;K
ciceroniaans;-;K
cilinderglas;-;K
cilindervlak;-;K
cinemaprimeur;-;K
cinemascopeformaat;-;K
circusachtig;-;K
cirkelboor;-;K
cirkelrond;-;K
citohulp;-;K
citrusolie;-;K
civilisatietheorie;-;K
ckv-docent;-;K
classificeerder;-;K
cliché-uitdrukking;-;K
closeharmonykoor;-;K
close-upopname;-;K
clownsduo;-;K
clubsjaal;-;K
clubvolleybal;-;K
clubwinkel;-;K
clusterbijeenkomst;-;K
clusterprijs;-;K
CO₂-heffing;B;K
CO₂-probleem;B;K
coöptatiesysteem;-;K
coördinatiewet;-;K
cobranding;-;K
cocaproducerend;-;K
Cockneydialect;-;K
CO-emissie;-;K
co-evolutie;-;K
co-existeren;-;K
cognacglas;-;K
cola light;-;K
cold case;-;K
collectiecatalogus;-;K
collectievelastenpeil;-;K
collega-curator;-;K
collega-onderzoekster;-;K
collegezalencomplex;-;K
colloqueren;-;K
columnistenprijs;-;K
comité-generaal;-;K
commandotoets;-;K
Commewijner;-;K
Commewijns;-;K
commissarisplaats;-;K
commissarissenaansprakelijkheidsverzekering;-;K
commissiebesluit;-;K
commissionairsbedrijf;-;K
commissionairshuis;-;K
communiepak;-;K
compactcamera;-;K
compactdiscspeler;-;K
compensatiedag;-;K
compensatietheorie;-;K
componistenbond;-;K
compositiedocent;-;K
composteringsfabriek;-;K
compostfabriek;-;K
compressietherapie;-;K
computercommunicatie;-;K
computerdiagnose;-;K
computerkoppeling;-;K
computerverslaafde;-;K
computerzetten;-;K
C-omroep;-;K
conceptbeginselprogramma;-;K
concertdirectie;-;K
concordia;-;K
concubaan;-;K
conditioneringsproces;-;K
condoomcampagne;-;K
conducteurskorps;-;K
confituurtaart;-;K
confrontatiemodel;-;K
congestiegebied;-;K
conjunctuuronderzoek;-;K
conjunctuurtest;-;K
conservatief-democratisch;-;K
